Date,TSLA Searches
2021-05-03,29
2021-05-04,35
2021-05-05,32
2021-05-06,30
2021-05-07,27
2021-05-08,7
2021-05-09,6
2021-05-10,34
2021-05-11,43
2021-05-12,42
2021-05-13,45
2021-05-14,41
2021-05-15,8
2021-05-16,6
2021-05-17,40
2021-05-18,36
2021-05-19,45
2021-05-20,36
2021-05-21,37
2021-05-22,9
2021-05-23,6
2021-05-24,36
2021-05-25,33
2021-05-26,29
2021-05-27,34
2021-05-28,28
2021-05-29,7
2021-05-30,4
2021-05-31,4
2021-06-01,26
2021-06-02,24
2021-06-03,31
2021-06-04,33
2021-06-05,8
2021-06-06,3
2021-06-07,27
2021-06-08,27
2021-06-09,22
2021-06-10,28
2021-06-11,29
2021-06-12,6
2021-06-13,5
2021-06-14,26
2021-06-15,24
2021-06-16,23
2021-06-17,25
2021-06-18,24
2021-06-19,6
2021-06-20,4
2021-06-21,23
2021-06-22,21
2021-06-23,29
2021-06-24,46
2021-06-25,35
2021-06-26,6
2021-06-27,7
2021-06-28,28
2021-06-29,20
2021-06-30,22
2021-07-01,48
2021-07-02,46
2021-07-03,10
2021-07-04,6
2021-07-05,13
2021-07-06,42
2021-07-07,35
2021-07-08,50
2021-07-09,40
2021-07-10,10
2021-07-11,6
2021-07-12,45
2021-07-13,47
2021-07-14,41
2021-07-15,38
2021-07-16,37
2021-07-17,10
2021-07-18,6
2021-07-19,40
2021-07-20,41
2021-07-21,35
2021-07-22,35
2021-07-23,32
2021-07-24,10
2021-07-25,5
2021-07-26,77
2021-07-27,84
2021-07-28,43
2021-07-29,44
2021-07-30,38
2021-07-31,10
2021-08-01,7
2021-08-02,48
2021-08-03,53
2021-08-04,41
2021-08-05,45
2021-08-06,38
2021-08-07,8
2021-08-08,5
2021-08-09,35
2021-08-10,44
2021-08-11,35
2021-08-12,31
2021-08-13,34
2021-08-14,8
2021-08-15,7
2021-08-16,42
2021-08-17,45
2021-08-18,46
2021-08-19,41
2021-08-20,47
2021-08-21,12
2021-08-22,6
2021-08-23,40
2021-08-24,54
2021-08-25,34
2021-08-26,27
2021-08-27,32
2021-08-28,11
2021-08-29,7
2021-08-30,39
2021-08-31,46
2021-09-01,41
2021-09-02,36
2021-09-03,34
2021-09-04,10
2021-09-05,5
2021-09-06,10
2021-09-07,41
2021-09-08,36
2021-09-09,31
2021-09-10,32
2021-09-11,7
2021-09-12,5
2021-09-13,36
2021-09-14,32
2021-09-15,31
2021-09-16,33
2021-09-17,35
2021-09-18,7
2021-09-19,5
2021-09-20,33
2021-09-21,31
2021-09-22,26
2021-09-23,35
2021-09-24,34
2021-09-25,12
2021-09-26,4
2021-09-27,41
2021-09-28,38
2021-09-29,35
2021-09-30,39
2021-10-01,29
2021-10-02,12
2021-10-03,11
2021-10-04,47
2021-10-05,30
2021-10-06,24
2021-10-07,32
2021-10-08,31
2021-10-09,7
2021-10-10,3
2021-10-11,29
2021-10-12,28
2021-10-13,27
2021-10-14,31
2021-10-15,31
2021-10-16,9
2021-10-17,7
2021-10-18,41
2021-10-19,42
2021-10-20,50
2021-10-21,53
2021-10-22,45
2021-10-23,12
2021-10-24,8
2021-10-25,100
2021-10-26,99
2021-10-27,66
2021-10-28,57
2021-10-29,62
2021-10-30,19
2021-10-31,10
2021-11-01,77
2021-11-02,81
2021-11-03,64
2021-11-04,73
2021-11-05,50
2021-11-06,20
2021-11-07,18
2021-11-08,92
2021-11-09,86
2021-11-10,85
2021-11-11,79
2021-11-12,58
2021-11-13,16
2021-11-14,9
2021-11-15,65
2021-11-16,57
2021-11-17,55
2021-11-18,49
2021-11-19,41
2021-11-20,13
2021-11-21,7
2021-11-22,47
2021-11-23,43
2021-11-24,43
2021-11-25,17
2021-11-26,33
2021-11-27,11
2021-11-28,6
2021-11-29,36
2021-11-30,47
2021-12-01,40
2021-12-02,39
2021-12-03,42
2021-12-04,14
2021-12-05,6
2021-12-06,52
2021-12-07,43
2021-12-08,42
2021-12-09,38
2021-12-10,41
2021-12-11,11
2021-12-12,7
2021-12-13,39
2021-12-14,47
2021-12-15,46
2021-12-16,45
2021-12-17,45
2021-12-18,8
2021-12-19,6
2021-12-20,46
2021-12-21,40
2021-12-22,47
2021-12-23,52
2021-12-24,20
2021-12-25,7
2021-12-26,7
2021-12-27,38
2021-12-28,42
2021-12-29,41
2021-12-30,41
2021-12-31,39
2022-01-01,10
2022-01-02,11
2022-01-03,78
2022-01-04,67
2022-01-05,53
2022-01-06,43
2022-01-07,38
2022-01-08,11
2022-01-09,9
2022-01-10,48
2022-01-11,47
2022-01-12,43
2022-01-13,39
2022-01-14,40
2022-01-15,10
2022-01-16,4
2022-01-17,11
2022-01-18,28
2022-01-19,25
2022-01-20,22
